name,mass (g),GeoLocation
Hatford,29000,"(51.650000, -1.516670)"
Haverö,1544,"(60.245560, 22.061940)"
Hedeskoga,3500,"(55.466670, 13.783330)"
Hedjaz,6100,"(27.333330, 35.666670)"
Heredia,1000,"(10.000000, -84.100000)"
Hessle,20000,"(59.850000, 17.666670)"
Higashi-koen,750,"(33.600000, 130.433330)"
High Possil,4500,"(55.900000, -4.233330)"
Hiroshima,414,"(34.450000, 132.383330)"
Hoima,168,"(1.345000, 31.472780)"
Hökmark,306,"(64.433330, 21.200000)"
Holbrook,220000,"(34.900000, -110.183330)"
Holetta,1415,"(9.066670, 38.416670)"
Homestead,230000,"(41.800000, -91.866670)"
Honolulu,2420,"(21.300000, -157.866670)"
Hotse,180,"(35.666670, 115.500000)"
Hoxie,266,"(39.350000, -100.450000)"
Hraschina,49000,"(46.100000, 16.333330)"
Huaxi,1600,"(26.464690, 106.632410)"
Hungen,112,"(50.300000, 8.916670)"
Hvittis,14000,"(61.183330, 22.683330)"
Ibbenbüren,2000,"(52.283330, 7.700000)"
Ibitira,2500,"(-20.000000, -45.000000)"
Ibrisim,,"(38.000000, 35.000000)"
Ichkala,3973,"(58.200000, 82.933330)"
Idutywa,3457,"(-32.100000, 28.333330)"
Iguaracu,1200,"(-23.200000, -51.833330)"
Ijopega,7330,"(-6.033330, 145.366670)"
Indarch,27000,"(39.750000, 46.666670)"
Independence,880,"(39.083330, -94.400000)"
Inner Mongolia,3000,"(41.000000, 112.000000)"
Innisfree,4576,"(53.415000, -111.337500)"
Ipiranga,7000,"(-25.500000, -54.500000)"
Ishinga,1300,"(-8.933330, 33.800000)"
Isthilart,3050,"(-31.183330, -57.950000)"
Itapicuru-Mirim,2024,"(-3.400000, -44.333330)"
Itqiy,4720,"(26.590830, -12.952170)"
Ivuna,705,"(-8.416670, 32.433330)"
Jackalsfontein,48000,"(-32.500000, 21.900000)"
Jajh deh Kot Lalu,973,"(26.750000, 68.416670)"
Jalanash,700,
Jalandhar,1967,"(31.000000, 75.000000)"
Jamkheir,22,"(18.750000, 75.333330)"
